Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2025-03-07,238.2552947998047,391.2127685546875,173.18174743652344,199.25,262.6700134277344
2025-03-10,226.70477294921875,378.13287353515625,165.41319274902344,194.5399932861328,222.14999389648438
2025-03-11,220.08741760253906,378.42132568359375,163.58822631835938,196.58999633789062,230.5800018310547
2025-03-12,216.24057006835938,381.2262878417969,166.64979553222656,198.88999938964844,248.08999633789062
2025-03-13,208.96542358398438,376.7502746582031,162.311767578125,193.88999938964844,240.67999267578125
2025-03-14,212.76246643066406,386.4880676269531,165.0342559814453,197.9499969482422,249.97999572753906
2025-03-17,213.27072143554688,386.6273498535156,163.83753967285156,195.74000549316406,238.00999450683594
2025-03-18,211.96519470214844,381.4749450683594,160.22750854492188,192.82000732421875,225.30999755859375
2025-03-19,214.50650024414062,385.75201416015625,163.4386444091797,195.5399932861328,235.86000061035156
2025-03-20,213.37037658691406,384.7772521972656,162.35165405273438,194.9499969482422,236.25999450683594
2025-03-21,217.52618408203125,389.1736755371094,163.5383758544922,196.2100067138672,248.7100067138672
2025-03-24,219.977783203125,390.9839782714844,167.2182159423828,203.25999450683594,278.3900146484375
2025-03-25,222.98748779296875,393.0528564453125,170.09027099609375,205.7100067138672,288.1400146484375
2025-03-26,220.77505493164062,387.89056396484375,164.6054229736328,201.1300048828125,272.05999755859375
2025-03-27,223.08717346191406,388.4972839355469,161.793212890625,201.36000061035156,273.1300048828125
2025-03-28,217.15740966796875,376.78009033203125,153.90499877929688,192.72000122070312,263.54998779296875
2025-03-31,221.37301635742188,373.3883361816406,154.21412658691406,190.25999450683594,259.1600036621094
2025-04-01,222.4293975830078,380.1520080566406,156.63743591308594,192.1699981689453,268.4599914550781
2025-04-02,223.12701416015625,380.102294921875,156.60751342773438,196.00999450683594,282.760009765625
2025-04-03,202.49755859375,371.12042236328125,150.304931640625,178.41000366210938,267.2799987792969
2025-04-04,187.738037109375,357.9211730957031,145.1990203857422,171.0,239.42999267578125
2025-04-07,180.84161376953125,355.9517517089844,146.34585571289062,175.25999450683594,233.2899932861328
2025-04-08,171.83242797851562,352.66937255859375,144.301513671875,170.66000366210938,221.86000061035156
2025-04-09,198.17234802246094,388.40777587890625,158.27291870117188,191.10000610351562,272.20001220703125
2025-04-10,189.7710723876953,379.3165283203125,152.39913940429688,181.22000122070312,252.39999389648438
2025-04-11,197.4747314453125,386.378662109375,156.70724487304688,184.8699951171875,252.30999755859375
2025-04-14,201.82984924316406,385.7420654296875,158.63194274902344,182.1199951171875,252.35000610351562
2025-04-15,201.4511260986328,383.67315673828125,155.87953186035156,179.58999633789062,254.11000061035156
2025-04-16,193.6079559326172,369.62841796875,152.90773010253906,174.3300018310547,241.5500030517578
2025-04-17,196.3087158203125,365.81884765625,150.74371337890625,172.61000061035156,241.3699951171875
2025-04-21,192.50172424316406,357.205078125,147.2633056640625,167.32000732421875,227.5
2025-04-22,199.059326171875,364.864013671875,151.0528564453125,173.17999267578125,237.97000122070312
2025-04-23,203.90274047851562,372.3936462402344,154.92218017578125,180.60000610351562,250.74000549316406
2025-04-24,207.659912109375,385.2347412109375,158.8413543701172,186.5399932861328,259.510009765625
2025-04-25,208.56680297851562,389.7605285644531,161.51397705078125,188.99000549316406,284.95001220703125
2025-04-28,209.4238739013672,389.0741882324219,160.16769409179688,187.6999969482422,285.8800048828125
2025-04-29,210.490234375,391.9388427734375,159.71893310546875,187.38999938964844,292.0299987792969
2025-04-30,211.7758331298828,393.15234375,158.3626708984375,184.4199981689453,282.1600036621094
2025-05-01,212.59304809570312,423.1316223144531,160.85577392578125,190.1999969482422,280.5199890136719
2025-05-02,204.65020751953125,432.95892333984375,163.57826232910156,189.97999572753906,287.2099914550781
2025-05-05,198.21221923828125,433.8442077636719,163.75778198242188,186.35000610351562,280.260009765625
2025-05-06,197.83349609375,430.9994201660156,162.7804718017578,185.00999450683594,275.3500061035156
2025-05-07,195.58120727539062,431.03924560546875,150.96310424804688,188.7100067138672,276.2200012207031
2025-05-08,196.81698608398438,435.83355712890625,153.85513305664062,192.0800018310547,284.82000732421875
2025-05-09,197.8534393310547,436.3905334472656,152.32933044433594,193.05999755859375,298.260009765625
2025-05-12,210.3471221923828,446.8644104003906,158.0236053466797,208.63999938964844,318.3800048828125
2025-05-13,212.48263549804688,446.74505615234375,159.0906524658203,211.3699951171875,334.07000732421875
2025-05-14,211.8839111328125,450.5247802734375,164.91458129882812,210.25,347.67999267578125
2025-05-15,211.00575256347656,451.5412292480469,163.50845336914062,205.1699981689453,342.82000732421875
2025-05-16,210.81614685058594,452.67718505859375,165.73233032226562,205.58999633789062,349.9800109863281
2025-05-19,208.3413543701172,457.26104736328125,166.0813446044922,206.16000366210938,342.0899963378906
2025-05-20,206.42539978027344,456.56353759765625,163.52841186523438,204.07000732421875,343.82000732421875
2025-05-21,201.66542053222656,450.9831848144531,168.09579467773438,201.1199951171875,334.6199951171875
2025-05-22,200.93695068359375,453.26513671875,170.39942932128906,203.10000610351562,341.0400085449219
2025-05-23,194.8597412109375,448.6015319824219,168.0060272216797,200.99000549316406,339.3399963378906
2025-05-27,199.78936767578125,459.07470703125,172.423828125,206.02000427246094,362.8900146484375
2025-05-28,199.99893188476562,455.75634765625,171.8853302001953,204.72000122070312,356.8999938964844
2025-05-29,199.5299072265625,457.0717468261719,171.38668823242188,205.6999969482422,358.42999267578125
2025-05-30,200.4280242919922,458.7458190917969,171.2670440673828,205.00999450683594,346.4599914550781
2025-06-02,201.27622985839844,460.3502197265625,168.56451416015625,206.64999389648438,342.69000244140625
2025-06-03,202.8429412841797,461.3466796875,165.7223358154297,205.7100067138672,344.2699890136719
2025-06-04,202.3938751220703,462.2435302734375,167.58718872070312,207.22999572753906,332.04998779296875
2025-06-05,200.20848083496094,466.0401611328125,167.7467803955078,207.91000366210938,284.70001220703125
2025-06-06,203.49156188964844,468.7307434082031,173.20169067382812,213.57000732421875,295.1400146484375
2025-06-09,201.02674865722656,471.0924072265625,175.817626953125,216.97999572753906,308.5799865722656
2025-06-10,202.24420166015625,469.26885986328125,178.3237762451172,217.61000061035156,326.0899963378906
